nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
Rumah lux pondok indah,7,7,1400,48000000000,82332762,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-pondok-indah-oleh-fenny-d-16161975
Rumah di Jual di lokasi strategis di Duren Tiga,0,10,2000,48000000000,14911463,"Duren Tiga, Duren Tiga, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-jual-di-lokasi-strategis-di-duren-tiga-oleh-febe-manurung-18371988
RUMAH LUX SISINGAMANGARAJA TERMURAH,3,3,823,47000000000,83333333,"Sisingamangaraja, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-sisingamangaraja-termurah-oleh-marina-evalisa-18922938
RUMAH LUX SISINGAMANGARAJA TERMURAH,3,3,823,47000000000,83333333,"Sisingamangaraja, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-sisingamangaraja-termurah-oleh-marina-evalisa-18922938
Rumah Ruko Bekas salon Kecantikan Main road Cocok Buat usaha,4,4,690,47000000000,68017366,"jalan wijaya 1, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-ruko-bekas-salon-kecantikan-main-road-cocok-buat-usaha-oleh-dadan-18833886
rumah dijual pondok indah jakarta selatan,4,4,1400,45000000000,92783505,"metro pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-jakarta-selatan-oleh-agus-faisal-18249940
Pondok Indah dekat Bukit Golf Harga Miring,5,5,800,45000000000,53317536,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-dekat-bukit-golf-harga-miring-oleh-nizar-luthfi-18080756
Rumah Kuningan,5,5,800,45000000000,60810811,"Kuningan Raya, Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kuningan-oleh-chris-cornelius-17728581
Dijual Cepat Rumah Mewah di Pondok Indah,5,6,900,45000000000,62849162,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-mewah-di-pondok-indah-oleh-hartono-humin-%E4%B8%81-%E9%96%8B-%E7%82%AB-18776876
Jual Rumah Mewah Pondok Indah,5,6,1000,45000000000,62849162,"Pondok Indah Jakarta Selatan, Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-rumah-mewah-pondok-indah-oleh-ria-yuliantini-18706416
"Dijual rumah mewah di pondok indah , jakarta selatan !",5,6,900,45000000000,62849162,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-di-pondok-indah-jakarta-selatan-oleh-ahmad-sauqi-18890892
