nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori,latitude,longitude,distance,nomor,TEBET,SETIA BUDI,MAMPANG PRAPATAN,PASAR MINGGU,KEBAYORAN LAMA,CILANDAK,KEBAYORAN BARU,PANCORAN,JAGAKARSA,PESANGGRAHAN
[FOR SALE] CIPETE Rumah brandnew minimalis di Cipete,3,4,373,5900000000,29797980,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-for-sale-cipete-rumah-brandnew-minimalis-di-cipete-oleh-dini-wiryandoko-18915332,5 - 10 M,25 - 30 Juta,-6.277569952084483,106.79880008418057,,904,0.1008311469296288,0.0891108402331735,0.04744217610426826,0.04375396790984265,0.04679076829692885,0.020567736476999166,0.03548139778138104,0.06706320958800926,0.08004390240459802,0.06729758353804982
"4 Bedrooms Rumah Ampera, Jakarta Selatan, DKI Jakarta",3,4,381,5900000000,31720430,"Ampera, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-bedrooms-rumah-ampera-jakarta-selatan-dki-jakarta-oleh-elly-maria-18845009,5 - 10 M,30 Juta- Max,-6.283199999999965,106.81926000000004,,905,0.08600127902563859,0.07428097232918329,0.03261230820027805,0.017664004174887893,0.07288073203188361,0.03539760438098938,0.05628817443851375,0.05223334168401905,0.053953938669643264,0.09338754727300458
"Dijual Rumah Mewah Menteng Bintaro, Bintaro Jaya.",4,5,225,5900000000,23137255,"Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-menteng-bintaro-bintaro-jaya-oleh-dina-18906137,5 - 10 M,15 - 25 Juta,-6.257169999999974,106.76392000000004,,906,0.11531127902564808,0.10359097232919279,0.061922308200287546,0.09903400417488051,0.023825850768851353,0.06491349659791013,0.049961529877400324,0.08154334168402855,0.13532393866963588,0.012017547273011964
JUAL CEPAT BRAND NEW TOWN HOUSE GANDARIA KEBAYORAN LOKASI PREMIUM FASILITAS POOL,4,4,345,5900000000,28640777,"JALAN PAHLAWAN KEBAYORAN LAMA, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-cepat-brand-new-town-house-gandaria-kebayoran-lokasi-premium-fasilitas-pool-oleh-abdullah-rifky-said-ss-17491454,5 - 10 M,25 - 30 Juta,-6.251725028895586,106.77731987853542,,907,0.09646642938587924,0.08474612268942394,0.0442553860360837,0.09107909674388726,0.004981001129082507,0.05695858916691687,0.031116680237631478,0.06992697932537606,0.12736903123864263,0.019972454704005216
Rumah Brand New di Cipete,4,5,373,5900000000,29648241,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-brand-new-di-cipete-oleh-hesti-18877274,5 - 10 M,25 - 30 Juta,-6.277569952084483,106.79880008418057,,908,0.1008311469296288,0.0891108402331735,0.04744217610426826,0.04375396790984265,0.04679076829692885,0.020567736476999166,0.03548139778138104,0.06706320958800926,0.08004390240459802,0.06729758353804982
Tjilandak Teras,5,6,147,5900000000,19666667,"Jalan Cilandak Bawah, Jakarta Selatan, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-tjilandak-teras-oleh-hany-17349776,5 - 10 M,15 - 25 Juta,-6.2867709491544375,106.79912828383672,,909,0.10970394434343067,0.09798363764697537,0.05631497351807013,0.03422477118373557,0.056319965023035934,0.011694939063197296,0.04435419519518291,0.07593600700181113,0.07051470567849094,0.0768267802641569
Cilandak,5,6,410,5900000000,23046875,"Margasatwa, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-oleh-ridwan-18932062,5 - 10 M,15 - 25 Juta,-6.313216573315473,106.8021101629989,,910,0.1331676893422884,0.1214473826458331,0.07977871851692786,0.049566386043255584,0.08574746834624936,0.029323239716448235,0.0691549107528795,0.09939975200066886,0.04108720235527752,0.10625428358737032
Rumah townhouse murah siap huni bebas banjir di cilandak,5,6,410,5900000000,23046875,"Jl. Margasatwa, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-townhouse-murah-siap-huni-bebas-banjir-di-cilandak-oleh-wahyu-ananto-18916055,5 - 10 M,15 - 25 Juta,-6.313216573315473,106.8021101629989,,911,0.1331676893422884,0.1214473826458331,0.07977871851692786,0.049566386043255584,0.08574746834624936,0.029323239716448235,0.0691549107528795,0.09939975200066886,0.04108720235527752,0.10625428358737032
"TEBET BARAT RAYA - Tanah Kavling 211 m2 , Cocok Untuk Residensial/Kantor",0,0,210,5900000000,28095238,"Taman Honda Tebet Barat, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-tebet-barat-raya-tanah-kavling-211-m2-cocok-untuk-residensial-kantor-oleh-abdurrahman-siddiq-18170798,5 - 10 M,25 - 30 Juta,-6.241309999999943,106.84742000000006,,912,0.015951279025602005,0.039082205284422855,0.03743769179975853,0.06765002427343081,0.07553414923119472,0.10544760438102596,0.049398470122645755,0.01781665831601753,0.1178405510301479,0.09783099894298708
jl. Pengadegan,3,4,200,5850000000,28817734,"jl. Pengadegan, Pancoran, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jl-pengadegan-oleh-ayu-16190561,5 - 10 M,25 - 30 Juta,-6.251417221834818,106.85711313584187,,913,0.028783833747388243,0.05888256296111294,0.037023605806697724,0.06723593828037,0.07895108970856501,0.10503351838796515,0.06235853211519515,0.017402572322956722,0.11742646503708709,0.09945790494968598
