nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori,latitude,longitude,nomor,TEBET,SETIA BUDI,MAMPANG PRAPATAN,PASAR MINGGU,KEBAYORAN LAMA,CILANDAK,KEBAYORAN BARU,PANCORAN,JAGAKARSA,PESANGGRAHAN,kecamatan_terdekat,kota,provinsi,negara
Jagakarsa,3,4,122,1538000000,24031250,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-ilham-kausallyanto-18937108,"1,5 - 3,5 M",15 - 25 Juta,-6.334499999999935,106.81966000000006,1546,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.053299975726562636,0.12458073203186705,0.06815650340206593,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah seken lokasi depan jalan Kebagusan,2,3,120,1500000000,13157895,"Kebagusan 3 raya, Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-seken-lokasi-depan-jalan-kebagusan-oleh-ihwan-amin-18794025,"0 - 1,5 M",10 - 15 Juta,-6.298832091548539,106.82690556431444,1547,0.09398780625981118,0.08226749956335587,0.05243736239589136,0.010386502960778364,0.09615838789485932,0.03973415926505819,0.07956583030148945,0.06021986891819165,0.039804023795938726,0.11666520313598028,PASAR MINGGU,Jakarta Selatan,DKI Jakarta,Indonesia
"DIJUAL MURAH dan CEPAT! Rumah 2 Lantai di Jagakarsa, Jakarta Selatan",2,3,155,1500000000,17441860,"Jl. Pepaya V, Jagakarsa, Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-murah-dan-cepat-rumah-2-lantai-di-jagakarsa-jakarta-selatan-oleh-mohamad-afiffudin-18459854,"0 - 1,5 M",15 - 25 Juta,-6.3206349552239445,106.8178150601768,1548,0.12488117407286214,0.11316086737640685,0.0714922032475016,0.04127987077382933,0.10887074743261847,0.052446518802817366,0.09227818983924864,0.0911132367312426,0.017963923268908392,0.12937756267373945,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah dijual di Cikoko Jakarta selatan,3,7,174,1500000000,12396694,"Cikoko Timur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-cikoko-jakarta-selatan-oleh-suwandana-18850585,"0 - 1,5 M",10 - 15 Juta,-6.244553768786379,106.85945215227615,1549,0.02425939713322656,0.05435812634695125,0.046226075289413686,0.07643840776308597,0.08432253272084989,0.11423598787068112,0.05818685361230092,0.02660504180567269,0.12662893451980306,0.10661938243264224,TEBET,Jakarta Selatan,DKI Jakarta,Indonesia
RUMAH CANTIK NON CLUSTER DEKAT KE PINTU TOL DESARI,3,4,130,1500000000,17647059,"Jl.Moh Kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cantik-non-cluster-dekat-ke-pintu-tol-desari-oleh-mamen-sulivan-18858922,"0 - 1,5 M",15 - 25 Juta,-6.334499999999935,106.81966000000006,1550,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.053299975726562636,0.12458073203186705,0.06815650340206593,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah minimalis 2 lantai dekat jalan raya,3,3,110,1500000000,18750000,"Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-minimalis-2-lantai-dekat-jalan-raya-oleh-moza-17902383,"0 - 1,5 M",15 - 25 Juta,-6.309369999999943,106.76682000000004,1551,0.16461127902562026,0.15289097232916493,0.11122230820025968,0.08100997572658741,0.0731258507688235,0.04321239561899226,0.09926152987737248,0.1308433416840007,0.08022393866967015,0.0671175472729777,CILANDAK,Jakarta Selatan,DKI Jakarta,Indonesia
"cluster exclusive , pinggir jalan utama cirendeu",3,3,90,1500000000,21428571,"cirendeu, Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cluster-exclusive-pinggir-jalan-utama-cirendeu-oleh-sugiardi-17221479,"0 - 1,5 M",15 - 25 Juta,-6.253739999999938,106.79731000000004,1552,0.07849127902561559,0.0667709723291603,0.025102308200255045,0.06907400417491871,0.02147073203185279,0.042907604381012376,0.01314152987736783,0.04792188675640752,0.10536393866967407,0.041977547272973766,KEBAYORAN BARU,Jakarta Selatan,DKI Jakarta,Indonesia
Jual rumah Pesanggrahan dalam cluster siap bangun,3,3,125,1500000000,33333333,"Pesanggrahan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-rumah-pesanggrahan-dalam-cluster-siap-bangun-oleh-dewi-sabina-18282800,"0 - 1,5 M",30 Juta- Max,-6.236399999999946,106.75447000000008,1553,0.10399127902557924,0.09227097232912396,0.08243029346706265,0.1292540041748662,0.03870926796809472,0.09513349659789584,0.05530182556146457,0.108101886756355,0.16554393866962158,0.01820245272697374,PESANGGRAHAN,Jakarta Selatan,DKI Jakarta,Indonesia
BRAND NEW TOWHOUSE (DALAM KOMPLEK M SAIDI RAYA ) - 18 Menit Kebayoran/Senopati Area,3,3,100,1500000000,33333333,"Komplek M Saidi Raya, Pesanggrahan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-brand-new-towhouse-dalam-komplek-m-saidi-raya-18-menit-kebayoran-senopati-area-oleh-abdurrahman-siddiq-18691788,"0 - 1,5 M",30 Juta- Max,-6.245726773178568,106.75805124047199,1554,0.1097368117322981,0.0980165050358428,0.06952227981653891,0.11634599052434247,0.02580125431757096,0.08222548294737209,0.04438706258405034,0.09519387310583127,0.15263592501909784,0.005294439076449997,PESANGGRAHAN,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah baru mewah ready stock 2 lantai di jagakarsa jaksel,4,4,140,1500000000,17647059,"Moch kahfi 1 jagakarsa jaksel, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-mewah-ready-stock-2-lantai-di-jagakarsa-jaksel-oleh-ajmal-18807313,"0 - 1,5 M",15 - 25 Juta,-6.3265300105915125,106.82068003659168,1555,0.1279112530255464,0.1161909463290911,0.07452228220018586,0.04430994972651359,0.11763077921507036,0.06120655058526925,0.10103822162170052,0.09414331568392686,0.009203891486456506,0.13813759445619134,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah 2 Lantai Dekat Akses Tol,4,4,140,1500000000,17647059,"M kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-dekat-akses-tol-oleh-allan-dody-18835744,"0 - 1,5 M",15 - 25 Juta,-6.31226996253816,106.81362507250792,1556,0.12070616905595788,0.10898586235950257,0.06731719823059734,0.037104865756925065,0.09631576707795377,0.03989153844815263,0.07972320948458389,0.08693823171433834,0.030518903623573124,0.11682258231907472,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah hunian baru clasic modern - 5 menit ke pintu toll,4,4,130,1500000000,18750000,"Jl Kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-hunian-baru-clasic-modern-5-menit-ke-pintu-toll-oleh-badar-muhammad-18934014,"0 - 1,5 M",15 - 25 Juta,-6.334499999999935,106.81966000000006,1557,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.053299975726562636,0.12458073203186705,0.06815650340206593,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Cilandak,4,4,130,1500000000,20833333,"Jl Margasatwa, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-oleh-ahmad-sofwan-18855419,"0 - 1,5 M",15 - 25 Juta,-6.313216573315473,106.8021101629989,1558,0.1331676893422884,0.1214473826458331,0.07977871851692786,0.049566386043255584,0.08574746834624936,0.02932323971644824,0.0691549107528795,0.09939975200066886,0.04108720235527752,0.10625428358737032,CILANDAK,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Second 3Lantai Siap Huni Di Ragunan Garasi 3Mobil Jual Murah,5,5,270,1499000000,5551852,"Jalan Unas Ragunan, Ragunan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-second-3lantai-siap-huni-di-ragunan-garasi-3mobil-jual-murah-oleh-zainal-abidin-18923839,"0 - 1,5 M",0 - 10 Juta,-6.300869999999975,106.82124000000003,1559,0.10169127902565922,0.08997097232920392,0.04880970653291428,0.01808997572662641,0.09253073203188222,0.0361065034020811,0.07593817443851236,0.06792334168403967,0.03430393866964465,0.1130375472730032,PASAR MINGGU,Jakarta Selatan,DKI Jakarta,Indonesia
"4 menit ke Tol TB. Simatupang, Busway, MRT, Arkadia, Kebun Binatang",1,2,66,1495000000,27181818,"Kebagusan Raya, Fatmawati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-menit-ke-tol-tb-simatupang-busway-mrt-arkadia-kebun-binatang-oleh-yahdi-syarif-18784770,"0 - 1,5 M",25 - 30 Juta,-6.307519999999952,106.83260000000007,1560,0.0969812790255986,0.09047220528444733,0.06681970653293147,0.0199959958251279,0.1105407320318994,0.05411650340209828,0.09394817443852954,0.06321334168397907,0.036810551030151295,0.13104754727302034,PASAR MINGGU,Jakarta Selatan,DKI Jakarta,Indonesia
"4 menit ke Tol TB. Simatupang, Busway, MRT, Arkadia, Kebun Binatang",2,2,66,1495000000,27181818,"Kebagusan Raya, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-menit-ke-tol-tb-simatupang-busway-mrt-arkadia-kebun-binatang-oleh-yahdi-syarif-18783649,"0 - 1,5 M",25 - 30 Juta,-6.290509999999927,106.79491000000007,1561,0.11766127902557065,0.10594097232911537,0.06427230820021013,0.034704004174895615,0.055840732031875895,0.0037376043810573023,0.05231152987732289,0.08389334168395113,0.07099393866965098,0.07634754727299686,CILANDAK,Jakarta Selatan,DKI Jakarta,Indonesia
Bamboo Aselih Residence 2,3,3,100,1495000000,13590909,"Jl. Aselih Raya, Cipedak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-bamboo-aselih-residence-2-oleh-abdullah-baraja-18157825,"0 - 1,5 M",10 - 15 Juta,-6.351829947136268,106.79506510812556,1562,0.17882611803641346,0.16710581133995814,0.12543714721105292,0.09522481473738063,0.1173157872937134,0.06089155866391228,0.1134763688881657,0.14505818069479393,0.045034287980663563,0.13782260253483436,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Jual BU Rumah di Kemang pratama,3,4,90,1475000000,8194444,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-bu-rumah-di-kemang-pratama-oleh-eko-han-18594377,"0 - 1,5 M",0 - 10 Juta,-6.255639999999971,106.81218000000008,1563,0.0655212790256039,0.0538009723291486,0.012132308200243358,0.05230400417484127,0.038240732031930236,0.05587760438102407,0.021648174438560368,0.03175334168398436,0.08859393866959664,0.0587475472730512,MAMPANG PRAPATAN,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Murah area premium,3,4,150,1450000000,16860465,"Jl pepaya raya, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-murah-area-premium-oleh-jaelani-17530921,"0 - 1,5 M",15 - 25 Juta,-6.318244960307263,106.82082508542616,1564,0.11948115390681302,0.10776084721035772,0.06609218308145247,0.035879850607780206,0.10949077776530293,0.0530665491355018,0.09289822017193304,0.08571321656519347,0.01734389293622396,0.12999759300642388,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
"Rumah Murah 10 Menit Ke Tol Desari, Jagakarsa. Jakarta Selatan",3,3,120,1450000000,17261905,"Jl, Panjang, Ciganjur, Ciganjur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-murah-10-menit-ke-tol-desari-jagakarsa-jakarta-selatan-oleh-aziz-faeyza-18808218,"0 - 1,5 M",15 - 25 Juta,-6.3355699999999615,106.80676000000004,1565,0.15087127902563768,0.1391509723291824,0.09748230820027716,0.06726997572660487,0.11275073203187702,0.0563265034020759,0.09615817443850716,0.11710334168401815,0.017079448969887782,0.133257547272998,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
